,ANN,ANNdetrended,SDNN,MedianNN,MedianNNdetrended,RangeNN,rMMSD,SDSD,NN50,pNN50,avgHR,Percentile10NN,Percentile10NNdetrended,Percentile25NN,Percentile25NNdetrended,Percentile75NN,Percentile75NNdetrended,Percentile90NN,Percentile90NNdetrended,IQR,MinMaxNNdiff,MeanAbsDiffNN,MeanAbsDiffNNdetrend,MeanAbsDeviationNN,MeanAbsDeviationNNdetrended,MedianAbsDeviationNN,MedianAbsDeviationNNdetrended,VLF_RAW,VLF_NU,LF_RAW,LF_NU,HF_RAW,HF_NU,TOT_RAW,LFHF_RATIO,VLF_NU_LOG,LF_NU_LOG,HF_NU_LOG,LFHF_RATIO_LOG,VLF_PEAK,LF_PEAK,HF_PEAK,VLF_RAW_BA,VLF_NU_BA,LF_RAW_BA,LF_NU_BA,HF_RAW_BA,HF_NU_BA,TOT_RAW_BA,LFHF_RATIO_BA,VLF_NU_LOG_BA,LF_NU_LOG_BA,HF_NU_LOG_BA,LFHF_RATIO_LOG_BA,DFAalpha1,DFAalpha2,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,Labels
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
9,0.76479057591623,4.504831644421447e-16,0.02636475646378105,0.765,0.0019030656381823219,0.16499999999999992,0.0014911047366551952,0.018841306210729703,1.0,0.002617801047120419,45.900615763546796,0.735,-0.031388157180220755,0.75,-0.015445048243724724,0.78,0.016265022042573074,0.8,0.03447719093979645,0.030000000000000027,0.16499999999999992,0.029343144934118614,0.02883571934063927,0.02033058304322801,0.020003104438392653,0.015000000000000013,0.015895497474767317,0.011622713818645202,0.02308977859765245,0.11182068085082703,0.22214388169331276,0.3915498373847566,0.7778561183066872,0.5149932320542289,0.2855847970661941,0.022827243233803148,0.20060659661148328,0.5754082104801717,0.25121370981601154,0.03662109375,0.146484375,0.25634765625,0.03861328666233417,0.11667439765436753,0.14323595115091436,0.4328035701577626,0.18771314683989695,0.5671964298422373,0.3695623846531455,0.7630576417382328,0.11035498041746764,0.35963306349615914,0.4492883095970013,0.5670495981383352,0.9645258700543611,0.8256175174177748,1.5995088506514847,1.497245835844573,1.4331521575382689,1.508896683212223,1.5077742586576002,1.4749429738863065,1.3792271938967984,1.466337068793427,1.3190856114264404,1.582409240046181,Wake
10,0.7661518324607323,3.7288380643823973e-16,0.02926452770736468,0.77,0.0019339194274197724,0.16999999999999993,0.0015532758726134197,0.019400551700185866,4.0,0.010471204188481676,45.98558165971956,0.73,-0.03774398216831887,0.75,-0.015156032050611778,0.785,0.01790154245804132,0.805,0.03823460687668889,0.03500000000000003,0.16999999999999993,0.03260749474380048,0.03243068767321355,0.022716482552561625,0.022534823303113124,0.020000000000000018,0.016922189885485384,0.013806037764253355,0.02709675155080547,0.114124201067943,0.22398860375994775,0.3953847612284236,0.7760113962400523,0.5233150000606199,0.28864086899396363,0.026736134445651562,0.2021148733931524,0.574370061351222,0.25358807303039876,0.03662109375,0.146484375,0.25634765625,0.043115431002151865,0.1300997338181795,0.1443980138657726,0.4357173923849493,0.18700490093501942,0.5642826076150508,0.3745183458029439,0.772161655356552,0.12230588884565122,0.3616646492976438,0.44742732120571344,0.5722000756497533,1.182003724960574,0.5434691131079148,1.5932965876032261,1.4988142267319995,1.4382358603628647,1.422226370345954,1.4190841839428814,1.3696734798838501,1.3080071397905992,1.2858238307562562,1.5985682401971966,1.2321436812926323,Wake
11,0.7673097112860892,-6.469016048996975e-17,0.029996379345910963,0.77,0.0021835570705218688,0.16999999999999993,0.0015682753376324056,0.019705669962994374,5.0,0.013123359580052493,46.05143993937098,0.73,-0.03714422850629491,0.75,-0.015943895016016424,0.785,0.018098033195698915,0.81,0.037883493062953764,0.03500000000000003,0.16999999999999993,0.03343790578811007,0.03242498695803486,0.02320003306673279,0.02236065417649957,0.020000000000000018,0.016777535730326365,0.024448318884285183,0.051964797531785574,0.11203886986443724,0.2381381401212764,0.35843960875045117,0.7618618598787236,0.49492679749917357,0.3125739096050618,0.05065965133338177,0.21360875133412047,0.5663711248257779,0.2719900259782233,0.03662109375,0.146484375,0.2685546875,0.06213696843927336,0.20686340644353193,0.1323613660516701,0.44065109307234707,0.16801543575950506,0.5593489069276529,0.3625137702504485,0.7877928920836196,0.1880247678933161,0.36509515936672654,0.44426836678538084,0.5809818378742607,1.1445295550719556,0.5552513863539524,1.6488857348657717,1.6370470280481673,1.506482482972548,1.5008609256854397,1.4877837572901735,1.2814253667302546,1.3391475826941888,1.3007721876817284,1.744691958370069,1.715598108262491,Wake
12,0.770092105263158,-1.5134092809363976e-16,0.02906964507326262,0.77,0.0008707039267291661,0.16999999999999993,0.0015597439596637213,0.01962525498193024,5.0,0.013157894736842105,46.23028609321714,0.735,-0.03573925455454041,0.755,-0.014623840247472375,0.785,0.017731469382533116,0.81,0.03695630418784773,0.030000000000000027,0.16999999999999993,0.03236890709625119,0.03139990872076775,0.022409833795013892,0.021488211766416177,0.015000000000000013,0.01627762411607314,0.01853498677747585,0.05427947709812306,0.0721533771986283,0.2113002632386303,0.2693198235097989,0.7886997367613697,0.360008187485903,0.26790964088093977,0.052857573507977366,0.19169438035969952,0.5814889518494835,0.23736959234093338,0.03662109375,0.146484375,0.32958984375,0.045200620767677585,0.20908284515859532,0.08327765546993546,0.38521438086625626,0.13290756399841272,0.6147856191337439,0.26138584023602573,0.6265832655764424,0.18986209298939374,0.3258549152899987,0.47920220429297505,0.48648165872051197,1.1488850134630257,0.6903441447072225,1.6218464190779303,1.643762654975175,1.4778812085402924,1.4611082987106279,1.486377819676873,1.4768912564721173,1.3974262014887349,1.6977305195797787,1.5964507169072892,1.6514021115331325,Wake
13,0.7708947368421055,-1.9136738977091513e-16,0.029041222156846017,0.775,0.0015195663988049057,0.16999999999999993,0.001585640024321005,0.01974906624122487,6.0,0.015789473684210527,46.29730958696479,0.735,-0.03525201114893295,0.755,-0.015823834069415288,0.79,0.018991512005659628,0.81,0.03864719138964717,0.03500000000000003,0.16999999999999993,0.03233564782670133,0.031910459319889416,0.022454847645429373,0.021963819283514572,0.020000000000000018,0.017392879051137955,0.019782337005146783,0.08183110157221275,0.048759435798864645,0.20169701600081874,0.19298650950885732,0.7983029839991813,0.26152828231286873,0.25265722419124215,0.0786550698775771,0.18373473778384283,0.5868434335321191,0.2252670743952664,0.01220703125,0.048828125,0.341796875,0.013299487971342165,0.058872668642689585,0.04391978234755134,0.194419123396184,0.18198280161818514,0.8055808766038159,0.23920207193707865,0.24134029126388903,0.05720482203672297,0.17765997799560185,0.5908823553063826,0.21619167593821648,1.1704958158666423,0.7877109773156263,1.6106793775221655,1.6020578051364778,1.4429454677744649,1.5140153667664067,1.4912449567063897,1.489242330372333,1.5942284937705715,1.6739764335716716,1.4718165345580525,1.7439688053917066,Wake
14,0.7722163588390504,-1.7869024934600144e-17,0.03009852685733978,0.775,0.0027483131751983025,0.16999999999999993,0.0016237546991732636,0.01969192520743887,7.0,0.018469656992084433,46.369969685486964,0.735,-0.03726641934651942,0.755,-0.017149649078721435,0.79,0.017816338339251864,0.81,0.03781340686809376,0.03500000000000003,0.16999999999999993,0.03324552219012482,0.03325187087823772,0.022826630279655525,0.022828871374580555,0.015000000000000013,0.015148076876448036,0.00709697410821483,0.03973889702098902,0.012078216590884167,0.06763093650669662,0.166511896377435,0.9323690634933035,0.18568708707653397,0.07253665866315218,0.03896962107556257,0.06544211574799992,0.6587467441999071,0.07002655180759622,0.01220703125,0.048828125,0.341796875,0.0048592571189813236,0.029233644831409986,0.010081157605147493,0.0606489785788761,0.15614023377470235,0.9393510214211239,0.17108064849883117,0.06456476566887803,0.028814491166505755,0.05888096472145261,0.6623533920685958,0.06256604489929837,1.2000668137416124,0.7069760633013343,1.6398590904801382,1.6455520682583207,1.4872022072573887,1.4213856809311607,1.5990751253985536,1.4275373196539398,1.4469189829363254,1.2851982442485217,1.5248805244060373,1.5860905484371093,Wake
15,0.7755172413793094,2.824148224444364e-16,0.028788671398319345,0.775,0.0006253644863332131,0.16999999999999993,0.001678642418427825,0.019788487053288232,6.0,0.015915119363395226,46.54264873057971,0.74,-0.03788940756805734,0.76,-0.016520951077535567,0.795,0.018415878010063974,0.81,0.036247044469348434,0.03500000000000003,0.16999999999999993,0.03184293696034025,0.03175789318215542,0.021683892801609803,0.02158221755341348,0.015000000000000013,0.017244718475459497,0.020908180862355703,0.0911461717437712,0.05265786317267789,0.22955429130796898,0.17673389802089676,0.770445708692031,0.25029994205593037,0.2979499901397054,0.0872286774766256,0.20665173892407152,0.5712313277065674,0.2607860891418988,0.01220703125,0.048828125,0.390625,0.014026665224364299,0.06630340064813758,0.04771886072171731,0.22556485738384696,0.1638338663970884,0.774435142616153,0.22557939234317004,0.29126371592830425,0.06419790124082911,0.20340184578748044,0.5734821427695966,0.2556213636050185,1.1417964564957916,0.4327149979727904,1.6723881111865533,1.484136411443866,1.4791518894698963,1.424394207352161,1.3862943611198906,1.4463364020867575,1.7598078694214525,1.6422277352570913,1.1621256943904354,1.4453278927040836,Wake
16,0.7758090185676383,2.3794700368624046e-16,0.02886036860291173,0.775,0.0022686099667026394,0.16999999999999993,0.0017007765581816185,0.01981453009376905,7.0,0.01856763925729443,46.574981053429276,0.74,-0.036170517792307705,0.76,-0.013921472343381452,0.795,0.01761056869274058,0.815,0.035748419103518336,0.03500000000000003,0.16999999999999993,0.03198529826740901,0.03185177853679903,0.02192015704043509,0.02187427714450627,0.015000000000000013,0.016148004294555984,0.020677620480385836,0.10969695091356005,0.046209971358836,0.24514875706687994,0.14228770618080286,0.75485124293312,0.20917529802002469,0.32476432855075815,0.10408696085327271,0.21925500636693102,0.5623840914638695,0.2812345783735762,0.01220703125,0.048828125,0.390625,0.013894519899503298,0.08136974680205401,0.043086665755765106,0.2523261766832742,0.12767114590738435,0.7476738233167258,0.18465233156265276,0.3374816247597651,0.07822852161923982,0.22500276325469792,0.5582856598881868,0.2907884611962787,1.1116728251416352,0.6038244062580499,1.6634767604830205,1.643157353446699,1.5581446180465497,1.5255836019972377,1.4277044179917002,1.6979407140104001,1.543840629948287,1.6495323696359785,1.3107868086117456,1.4853852637641216,Wake
17,0.7751591511936328,5.607068007655963e-16,0.028713110048187284,0.775,0.002127941757436025,0.16999999999999993,0.001711142186557436,0.019613336756488037,7.0,0.01856763925729443,46.5419761273209,0.74,-0.034466730628138695,0.76,-0.014726363145291466,0.795,0.01937552909306456,0.81,0.03597806228987499,0.03500000000000003,0.16999999999999993,0.031813448840238845,0.03141959076276385,0.021684174236081186,0.021709646408167967,0.015000000000000013,0.016951899897607925,0.007210546028198832,0.036562887306935056,0.029241722694870333,0.1482775101042191,0.16796770356483245,0.8517224898957809,0.20441997228790162,0.17409134062241652,0.03591032380468537,0.13826300222479068,0.6161162815275326,0.16049452129459077,0.03662109375,0.10986328125,0.390625,0.009416044305332192,0.055815053252332644,0.029241722694870333,0.17333481624336422,0.139459080344114,0.8266651837566357,0.17811684734431654,0.20967958932983533,0.054313030979856125,0.15984996478487362,0.6024920004794242,0.19035552233560715,1.1063579193945878,0.5577798390990878,1.6229037431235,1.6006078329858282,1.4545235823215446,1.4316310359946722,1.4086238375179794,1.4167773778449666,1.363304842895192,1.5062536761988696,1.575536360758419,1.7107904066943878,Wake
